Krok czasowy;Powierzchnia lewa;Powierzchnia prawa
317;26,18;194,49
318;26,20;194,71
319;26,23;194,94
320;26,25;195,16
321;26,27;195,38
322;26,30;195,61
323;26,32;195,83
324;26,35;196,05
325;26,37;196,27
326;26,40;196,48
327;26,42;196,70
328;26,45;196,92
329;26,47;197,13
330;26,49;197,34
331;26,52;197,56
332;26,54;197,77
333;26,57;197,98
334;26,59;198,19
335;26,62;198,40
336;26,64;198,60
337;26,67;198,81
338;26,69;199,02
339;26,72;199,22
340;26,74;199,42
341;26,76;199,63
342;26,79;199,83
343;26,81;200,03
344;26,84;200,23
345;26,86;200,43
346;26,89;200,63
347;26,91;200,82
348;26,94;201,02
349;26,96;201,21
350;26,99;201,41
351;27,01;201,60
352;27,03;201,79
353;27,06;201,98
354;27,08;202,17
355;27,11;202,36
356;27,13;202,55
357;27,16;202,74
358;27,18;202,93
359;27,21;203,11
360;27,23;203,30
361;27,26;203,48
362;27,28;203,66
363;27,31;203,85
364;27,33;204,03
365;27,36;204,21
366;27,38;204,39
367;27,40;204,57
368;27,43;204,75
369;27,45;204,92
370;27,48;205,10
371;27,50;205,27
372;27,53;205,45
373;27,55;205,62
374;27,58;205,80
375;27,60;205,97
376;27,63;206,14
377;27,65;206,31
378;27,68;206,48
379;27,70;206,65
380;27,73;206,82
381;27,75;206,98
382;27,77;207,15
383;27,80;207,32
384;27,82;207,48
385;27,85;207,65
386;27,87;207,81
387;27,90;207,97
388;27,92;208,13
389;27,95;208,30
390;27,97;208,46
391;28,00;208,61
392;28,02;208,77
393;28,05;208,93
394;28,07;209,09
395;28,10;209,25
396;28,12;209,40
397;28,14;209,56
398;28,17;209,71
399;28,19;209,86
400;28,22;210,02
401;28,24;210,17
402;28,27;210,32
403;28,29;210,47
404;28,32;210,62
405;28,34;210,77
406;28,37;210,92
407;28,39;211,07
408;28,42;211,21
409;28,44;211,36
410;28,46;211,51
411;28,49;211,65
412;28,51;211,79
413;28,54;211,94
414;28,56;212,08
415;28,59;212,22
416;28,61;212,36
417;28,64;212,51
418;28,66;212,65
419;28,69;212,79
420;28,71;212,92
421;28,74;213,06
422;28,76;213,20
423;28,78;213,34
424;28,81;213,47
425;28,83;213,61
426;28,86;213,74
427;28,88;213,88
428;28,91;214,01
429;28,93;214,14
430;28,96;214,28
431;28,98;214,41
432;29,00;214,54
433;29,03;214,67
434;29,05;214,80
435;29,08;214,93
436;29,10;215,06
437;29,13;215,19
438;29,15;215,31
439;29,18;215,44
440;29,20;215,57
441;29,22;215,69
442;29,25;215,82
443;29,27;215,94
444;29,30;216,07
445;29,32;216,19
446;29,35;216,31
447;29,37;216,43
448;29,40;216,56
449;29,42;216,68
450;29,44;216,80
451;29,47;216,92
452;29,49;217,04
453;29,52;217,15
454;29,54;217,27
455;29,57;217,39
456;29,59;217,51
457;29,61;217,62
458;29,64;217,74
459;29,66;217,85
460;29,69;217,97
461;29,71;218,08
462;29,74;218,20
463;29,76;218,31
464;29,78;218,42
465;29,81;218,54
466;29,83;218,65
467;29,86;218,76
468;29,88;218,87
469;29,91;218,98
470;29,93;219,09
471;29,95;219,20
472;29,98;219,30
473;30,00;219,41
474;30,03;219,52
475;30,05;219,63
476;30,07;219,73
477;30,10;219,84
478;30,12;219,94
479;30,15;220,05
480;30,17;220,15
481;30,19;220,26
482;30,22;220,36
483;30,24;220,46
484;30,27;220,57
485;30,29;220,67
486;30,31;220,77
487;30,34;220,87
488;30,36;220,97
489;30,39;221,07
490;30,41;221,17
491;30,43;221,27
492;30,46;221,37
493;30,48;221,47
494;30,51;221,56
495;30,53;221,66
496;30,55;221,76
497;30,58;221,85
498;30,60;221,95
499;30,62;222,04
